1,重庆啊喔呃电子商务有限公司,13251306026,重庆市涪陵区南沱镇关东村2组,,,,张浩
2,垫江县渔羊鲜餐饮文化有限公司,13251225222,重庆市垫江县桂溪街道牡丹城39-1-9门市,,,,汪建
3,重庆晓达安商贸有限公司,13224033341,重庆市南岸区南坪东路11号A栋1单元5-B号,,,,刘小军
4,重庆海鸿港商贸有限公司,13224031483,重庆市南岸区涂山路466号11幢1单元26-1号,,,,段春红
5,重庆屋美家联房地产经纪有限公司,13220221728,重庆市九龙坡区广厦城6号9幢1-18-2号,,,,李玲
6,重庆皆乐科技有限公司,13212586222,重庆市巫山县高唐街道祥云路284号,,,,李彬
7,重庆两江新区诚意正心汽车维修服务有限公司,13883649901,重庆市渝北区民安大道132号,,,,谢意
8,重庆长江造型材料集团铜梁有限公司,13193031139,重庆市铜梁区工业园区产业大道中段,,,,谢昭强
9,重庆雅煜堂电子商务有限公司高新分公司,13167801656,重庆市九龙坡区经纬大道1095号,,,,黄瑕
10,重庆冶木装饰设计有限公司,13110253901,重庆市沙坪坝区西永组团L标准分区L11-1/03地块2幢9-2,,,,肖丹丹
11,重庆迅时通科技有限公司,13101375972,重庆市渝北区双龙湖街道兰馨大道77号3-13-1,,,,刘刚
12,重庆灏睿农业开发有限公司,13101082628,重庆市万州区铁峰乡富强村六组8号,,,,郭朝珍
13,重庆瞌睡虫电子商务有限公司,13983472151,重庆市巴南区南泉街道万河村杨家咀组,,,,向世权
14,重庆奇红汽车销售有限公司,18680969281,重庆市涪陵区太极大道36号“龙湾城上城”1号楼1层3-5,,,,雷波
15,重庆益之兴林业咨询有限公司,47558024,重庆市江津区几江琅山开发区9-1地块市政府防意联建房1幢26号,,,,郑宇
16,重庆宏炎广告有限公司,13350341980,重庆市江北区聚慧雅苑4号1-3,,,,邓万孝
17,重庆市旺茂汽车销售有限公司黔江分公司,18802930939,重庆市正阳工业园区园区路白家河标准化厂房A栋4楼,,,,王勇
18,重庆陆加壹健康咨询服务有限公司,13896680876,重庆市南川区东城办事处北郊居委5组,,,,毛永翠
19,重庆汇聚教学设备有限公司,15923294450,重庆市渝北区金州路5号3幢28-2需要更多请联系2219629869,,,,曾宪敏
20,重庆碧洁五金有限公司,15123367067,重庆市北碚区蔡家岗镇嘉德大道99号18幢2号,,,,陶庆碧
21,重庆市交通行业职业培训中心有限责任公司,13608303536,重庆市璧山区璧城街道璧渝路329号,,,,李莉
22,重庆菜邻商贸有限公司,13368320777,重庆市长寿区菩提街道桃源西四路804号,,,,黄明伟
23,重庆跃博汽车销售服务有限公司,15823332639,重庆市长寿区桃源支路4号1幢1-10,,,,林伟
24,重庆唯品会品唯物流有限公司,15927005626,重庆市渝北区龙兴镇迎龙大道19号,,,,沈亚
25,北京小蜜蜂婚姻服务有限公司重庆分公司,13908283298,重庆市江北区建新南路16号20-4,,,,李波
26,石柱土家族自治县萍贵蔬菜种植家庭农场,13594773346,重庆市石柱县王场镇双龙村柏顺组,,,,付贵
27,重庆市坤瀚农业开发有限公司,18223227796,重庆市江津区石蟆镇稿子村郭坪5组,,,,柯瑞春
28,重庆市巴南区亮亮果园,13594078236,重庆市巴南区双河口镇塘湾村走马沟组,,,,赵仁碧
29,垫江县孔氏苗莆种植基地,18325045229,重庆市垫江县包家镇安乐村4社,,,,孔德强
30,重庆嘉赞生态农业开发有限公司,13983383566,重庆市江津区油溪镇小板桥村民小组,,,,陈永宏
31,秀山县苗众生态旅游股份合作社,13996981579,重庆市秀山县梅江镇民族村金珠组,,,,石胜成
32,云阳县金石农业开发有限公司,15320788567,重庆市云阳县双江街道青龙路四巷39号25-6,,,,刘波
33,武隆县稞乐水果种植场,13996886127,重庆市武隆县铁矿乡幸福村梯子坎组,,,,杨远德
34,重庆臻韬农业开发有限公司,023-47228479,重庆市江津区几江滨江路西段15号片区聚英花园D4幢14-1号（仅限用于行政办公、通讯联络）,,,,熊福斌
35,重庆市长寿区秋艳水果种植场,18290465089,重庆市长寿区云台镇安坪村8组,,,,阳红英
36,巫溪县焦山农银清香核桃种植专业合作社,51710065,重庆市巫溪县上磺镇焦山村三社,,,,谭仁俊
37,重庆市江津区富硒茶业开发有限公司,13609400325,重庆市江津区李市镇,,,,王真云
38,巫山县田长喜中药材种植基地,15202320756,重庆市巫山县笃坪乡鹤溪村2组,,,,田长喜
39,彭水县任飞烤烟种植股份合作社,13594951689,彭水县普子镇,,,,任永飞
40,石柱土家族自治县向师蔬菜种植家庭农场,13370790228,重庆市石柱土家族自治县大歇镇双会村会家组,,,,向大金
